"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 18일","99.681","100.435","100.515","99.595","17.63K","-0.75%"
"2020년 05월 15일","100.434","100.305","100.515","100.095","12.71K","-0.07%"
"2020년 05월 14일","100.507","100.245","100.605","100.200","13.87K","0.22%"
"2020년 05월 13일","100.291","100.055","100.325","99.585","14.30K","0.34%"
"2020년 05월 12일","99.956","100.270","100.510","99.685","12.08K","-0.31%"
"2020년 05월 11일","100.270","99.860","100.350","99.690","14.20K","0.50%"
"2020년 05월 08일","99.769","99.840","99.970","99.460","11.06K","-0.14%"
"2020년 05월 07일","99.906","100.265","100.455","99.825","13.98K","-0.23%"
"2020년 05월 06일","100.136","99.840","100.265","99.800","8.86K","0.37%"
"2020년 05월 05일","99.762","99.580","100.070","99.375","12.35K","0.20%"
"2020년 05월 04일","99.567","99.100","99.655","99.090","14.59K","0.47%"
"2020년 05월 01일","99.100","99.130","99.225","98.765","12.23K","0.07%"
"2020년 04월 30일","99.028","99.550","99.800","98.830","26.66K","-0.62%"
"2020년 04월 29일","99.644","99.935","99.955","99.515","10.39K","-0.29%"
"2020년 04월 28일","99.934","100.155","100.295","99.485","13.66K","-0.16%"
"2020년 04월 27일","100.097","100.270","100.370","99.840","11.46K","-0.34%"
"2020년 04월 24일","100.434","100.615","100.975","100.250","11.91K","-0.10%"
"2020년 04월 23일","100.535","100.595","100.850","100.120","22.23K","0.01%"
"2020년 04월 22일","100.528","100.330","100.625","99.990","11.26K","0.15%"
"2020년 04월 21일","100.374","100.055","100.630","100.030","16.31K","0.32%"
"2020년 04월 20일","100.058","99.770","100.185","99.750","13.17K","0.22%"
"2020년 04월 17일","99.836","99.970","100.355","99.660","12.80K","-0.26%"
"2020년 04월 16일","100.100","99.670","100.390","99.640","13.51K","0.62%"
"2020년 04월 15일","99.486","98.820","100.060","98.820","15.57K","0.61%"
"2020년 04월 14일","98.885","99.380","99.435","98.815","11.13K","-0.45%"
"2020년 04월 13일","99.336","99.495","99.640","99.110","9.03K","-0.17%"
"2020년 04월 09일","99.504","100.200","100.345","99.310","16.15K","-0.66%"
"2020년 04월 08일","100.170","99.980","100.510","99.950","11.10K","0.26%"
"2020년 04월 07일","99.914","100.830","100.830","99.715","15.56K","-0.83%"
"2020년 04월 06일","100.755","100.865","101.030","100.535","11.18K","0.08%"
"2020년 04월 03일","100.677","100.305","100.965","100.240","10.32K","0.40%"
"2020년 04월 02일","100.271","99.625","100.500","99.445","12.72K","0.52%"
"2020년 04월 01일","99.753","99.025","99.915","98.955","12.13K","0.67%"
"2020년 03월 31일","99.092","99.285","100.125","98.875","18.58K","-0.19%"
"2020년 03월 30일","99.281","98.430","99.445","98.395","11.21K","0.76%"
"2020년 03월 27일","98.537","99.430","100.020","98.345","15.81K","-0.92%"
"2020년 03월 26일","99.453","100.970","101.080","99.365","15.00K","-1.53%"
"2020년 03월 25일","100.997","101.865","102.110","100.835","13.89K","-1.22%"
"2020년 03월 24일","102.247","102.830","102.915","101.555","20.69K","-0.96%"
"2020년 03월 23일","103.240","103.150","103.960","102.300","21.53K","-0.25%"
"2020년 03월 20일","103.502","103.780","103.825","101.905","23.16K","-0.10%"
"2020년 03월 19일","103.605","101.130","103.700","101.045","34.70K","2.03%"
"2020년 03월 18일","101.543","99.695","102.040","99.385","26.16K","1.74%"
"2020년 03월 17일","99.804","98.225","100.075","98.105","26.90K","1.59%"
"2020년 03월 16일","98.240","97.985","98.470","97.555","0.13K","-0.53%"
"2020년 03월 13일","98.764","97.495","98.845","97.335","17.20K","1.33%"
"2020년 03월 12일","97.464","96.620","98.335","96.055","44.99K","1.01%"
"2020년 03월 11일","96.492","96.285","96.610","95.900","37.23K","0.11%"
"2020년 03월 10일","96.389","95.375","96.580","95.180","64.64K","1.60%"
"2020년 03월 09일","94.870","95.720","95.780","94.610","102.13K","-1.11%"
"2020년 03월 06일","95.934","96.645","96.655","95.685","42.51K","-0.88%"
"2020년 03월 05일","96.790","97.345","97.410","96.490","24.40K","-0.53%"
"2020년 03월 04일","97.307","97.145","97.565","97.070","22.20K","0.19%"
"2020년 03월 03일","97.122","97.520","97.655","96.875","51.42K","-0.20%"
"2020년 03월 02일","97.319","97.985","98.045","97.135","45.68K","-0.78%"
"2020년 02월 28일","98.081","98.390","98.615","97.910","41.69K","-0.39%"
"2020년 02월 27일","98.461","98.965","98.995","98.295","28.47K","-0.48%"
"2020년 02월 26일","98.938","98.990","99.200","98.850","18.10K","0.04%"
"2020년 02월 25일","98.901","99.260","99.320","98.810","22.34K","-0.39%"
"2020년 02월 24일","99.284","99.380","99.570","99.030","23.27K","0.10%"
"2020년 02월 21일","99.188","99.765","99.790","99.140","23.26K","-0.59%"
"2020년 02월 20일","99.776","99.470","99.815","99.445","18.07K","0.18%"
"2020년 02월 19일","99.597","99.315","99.620","99.275","14.00K","0.27%"
"2020년 02월 18일","99.333","99.100","99.375","99.030","13.76K","0.33%"
"2020년 02월 17일","99.003","99.030","99.095","98.935","3.91K","0.00%"
"2020년 02월 14일","99.003","98.995","99.045","98.875","16.18K","0.05%"
"2020년 02월 13일","98.958","98.895","99.010","98.745","12.79K","0.04%"
"2020년 02월 12일","98.922","98.665","98.925","98.580","14.97K","0.33%"
"2020년 02월 11일","98.594","98.750","98.855","98.585","14.35K","-0.12%"
"2020년 02월 10일","98.714","98.570","98.770","98.490","11.20K","0.15%"
"2020년 02월 07일","98.571","98.335","98.600","98.300","13.51K","0.19%"
"2020년 02월 06일","98.381","98.180","98.445","98.075","14.24K","0.23%"
"2020년 02월 05일","98.158","97.800","98.180","97.760","18.14K","0.36%"
"2020년 02월 04일","97.809","97.645","97.855","97.635","11.60K","0.19%"
"2020년 02월 03일","97.625","97.245","97.755","97.230","18.79K","0.42%"
"2020년 01월 31일","97.213","97.685","97.790","97.165","19.45K","-0.50%"
"2020년 01월 30일","97.706","97.860","97.910","97.620","15.51K","-0.12%"
"2020년 01월 29일","97.819","97.780","98.005","97.760","10.09K","-0.02%"
"2020년 01월 28일","97.835","97.745","97.975","97.715","10.15K","0.07%"
"2020년 01월 27일","97.767","97.640","97.800","97.590","17.92K","0.12%"
"2020년 01월 24일","97.650","97.490","97.740","97.450","16.25K","0.17%"
"2020년 01월 23일","97.484","97.305","97.590","97.185","18.07K","0.19%"
"2020년 01월 22일","97.295","97.380","97.460","97.150","12.49K","0.00%"
"2020년 01월 21일","97.294","97.385","97.420","97.150","11.01K","-0.07%"
"2020년 01월 20일","97.359","97.400","97.485","97.335","4.74K","0.00%"
"2020년 01월 17일","97.359","97.070","97.410","97.010","12.42K","0.31%"
"2020년 01월 16일","97.062","96.935","97.115","96.815","11.83K","0.11%"
"2020년 01월 15일","96.960","97.095","97.180","96.885","10.98K","-0.14%"
"2020년 01월 14일","97.094","97.090","97.305","97.045","8.81K","0.04%"
"2020년 01월 13일","97.060","97.100","97.245","97.020","8.53K","-0.02%"
"2020년 01월 10일","97.078","97.145","97.300","97.005","10.77K","-0.09%"
"2020년 01월 09일","97.162","96.985","97.275","96.955","11.37K","0.17%"
"2020년 01월 08일","96.996","96.560","97.040","96.525","13.73K","0.30%"
"2020년 01월 07일","96.702","96.370","96.795","96.310","11.61K","0.37%"
"2020년 01월 06일","96.350","96.565","96.585","96.230","10.96K","-0.18%"
"2020년 01월 03일","96.521","96.440","96.795","96.395","12.64K","-0.00%"
"2020년 01월 02일","96.525","96.140","96.560","96.100","17.44K","0.49%"
"2019년 12월 31일","96.058","96.415","96.415","96.020","11.50K","-0.36%"
"2019년 12월 30일","96.407","96.595","96.630","96.255","12.04K","-0.14%"
"2019년 12월 27일","96.546","97.145","97.160","96.535","14.11K","-0.59%"
"2019년 12월 26일","97.115","97.255","97.295","97.075","4.49K","-0.14%"
"2019년 12월 24일","97.251","97.260","97.390","97.200","4.04K","0.02%"
"2019년 12월 23일","97.235","97.295","97.405","97.170","6.53K","-0.04%"
"2019년 12월 20일","97.274","96.995","97.350","96.975","11.73K","0.33%"
"2019년 12월 19일","96.955","96.975","97.065","96.805","10.32K","-0.01%"
"2019년 12월 18일","96.963","96.790","97.045","96.780","9.89K","0.19%"
"2019년 12월 17일","96.777","96.705","96.865","96.585","13.27K","-0.19%"
"2019년 12월 16일","96.965","97.150","97.150","96.930","0.39K","-0.21%"
"2019년 12월 13일","97.171","96.835","97.230","96.715","9.00K","-0.22%"
"2019년 12월 12일","97.384","97.070","97.520","97.030","22.81K","0.34%"
"2019년 12월 11일","97.056","97.485","97.575","97.015","24.33K","-0.34%"
"2019년 12월 10일","97.385","97.620","97.630","97.370","13.49K","-0.23%"
"2019년 12월 09일","97.609","97.665","97.700","97.525","21.77K","-0.05%"
"2019년 12월 06일","97.661","97.380","97.815","97.200","26.39K","0.30%"
"2019년 12월 05일","97.371","97.535","97.555","97.310","10.06K","-0.24%"
"2019년 12월 04일","97.602","97.670","97.740","97.355","17.81K","-0.08%"
"2019년 12월 03일","97.681","97.870","97.880","97.585","12.75K","-0.11%"
"2019년 12월 02일","97.791","98.210","98.320","97.750","23.02K","-0.42%"
"2019년 11월 29일","98.202","98.265","98.495","98.155","11.82K","-0.09%"
"2019년 11월 28일","98.288","98.265","98.340","98.200","3.66K","0.00%"
"2019년 11월 27일","98.288","98.225","98.370","98.205","10.95K","0.12%"
"2019년 11월 26일","98.170","98.250","98.310","98.145","7.74K","-0.07%"
"2019년 11월 25일","98.238","98.190","98.295","98.080","8.19K","0.06%"
"2019년 11월 22일","98.176","97.860","98.215","97.700","11.32K","0.28%"
"2019년 11월 21일","97.899","97.775","97.945","97.620","15.47K","0.09%"
"2019년 11월 20일","97.814","97.730","97.930","97.730","10.12K","0.07%"
"2019년 11월 19일","97.742","97.715","97.770","97.635","7.19K","0.08%"
"2019년 11월 18일","97.663","97.870","97.870","97.550","12.90K","-0.21%"
"2019년 11월 15일","97.871","98.010","98.110","97.830","7.26K","-0.15%"
"2019년 11월 14일","98.019","98.210","98.290","97.970","9.44K","-0.21%"
"2019년 11월 13일","98.230","98.185","98.300","98.140","10.00K","0.08%"
"2019년 11월 12일","98.151","98.075","98.270","98.055","8.45K","0.12%"
"2019년 11월 11일","98.033","98.230","98.235","97.970","8.46K","-0.17%"
"2019년 11월 08일","98.201","97.995","98.245","97.945","10.51K","0.22%"
"2019년 11월 07일","97.989","97.780","98.075","97.660","16.09K","0.23%"
"2019년 11월 06일","97.764","97.760","97.805","97.600","13.05K","-0.04%"
"2019년 11월 05일","97.805","97.355","97.825","97.275","20.72K","0.45%"
"2019년 11월 04일","97.366","97.030","97.380","96.975","11.56K","0.33%"
"2019년 11월 01일","97.041","97.110","97.265","96.960","14.89K","-0.12%"
"2019년 10월 31일","97.154","97.255","97.255","97.015","17.25K","-0.29%"
"2019년 10월 30일","97.439","97.460","97.800","97.230","16.51K","-0.03%"
"2019년 10월 29일","97.469","97.525","97.700","97.380","10.43K","-0.06%"
"2019년 10월 28일","97.524","97.600","97.665","97.445","7.77K","-0.08%"
"2019년 10월 25일","97.599","97.445","97.680","97.340","9.81K","0.20%"
"2019년 10월 24일","97.405","97.215","97.555","97.055","18.18K","0.17%"
"2019년 10월 23일","97.236","97.230","97.390","97.150","10.41K","-0.02%"
"2019년 10월 22일","97.256","97.040","97.315","96.990","17.85K","0.21%"
"2019년 10월 21일","97.050","97.060","97.130","96.885","14.80K","0.04%"
"2019년 10월 18일","97.008","97.355","97.395","96.910","19.05K","-0.34%"
"2019년 10월 17일","97.335","97.740","97.845","97.220","25.72K","-0.40%"
"2019년 10월 16일","97.723","98.020","98.145","97.610","32.82K","-0.29%"
"2019년 10월 15일","98.003","98.190","98.375","97.915","28.44K","-0.17%"
"2019년 10월 14일","98.170","98.040","98.265","98.040","11.24K","0.17%"
"2019년 10월 11일","98.005","98.400","98.450","97.885","31.39K","-0.41%"
"2019년 10월 10일","98.406","98.755","98.795","98.325","18.50K","-0.41%"
"2019년 10월 09일","98.815","98.780","98.865","98.595","11.27K","-0.01%"
"2019년 10월 08일","98.822","98.665","98.955","98.540","13.92K","0.16%"
"2019년 10월 07일","98.665","98.520","98.705","98.425","9.10K","0.18%"
"2019년 10월 04일","98.488","98.560","98.690","98.340","10.91K","-0.05%"
"2019년 10월 03일","98.540","98.690","98.875","98.300","17.38K","-0.15%"
"2019년 10월 02일","98.689","98.795","99.080","98.620","13.66K","-0.09%"
"2019년 10월 01일","98.777","99.035","99.305","98.705","23.62K","-0.25%"
"2019년 09월 30일","99.021","98.770","99.115","98.710","13.81K","0.26%"
"2019년 09월 27일","98.761","98.805","98.955","98.630","10.39K","-0.00%"
"2019년 09월 26일","98.765","98.595","98.915","98.450","13.50K","0.11%"
"2019년 09월 25일","98.659","97.990","98.690","97.965","17.35K","0.75%"
"2019년 09월 24일","97.927","98.275","98.320","97.880","14.59K","-0.30%"
"2019년 09월 23일","98.221","98.145","98.455","98.070","13.35K","0.09%"
"2019년 09월 20일","98.136","97.935","98.250","97.735","13.51K","0.30%"
"2019년 09월 19일","97.847","98.150","98.210","97.775","12.90K","-0.29%"
"2019년 09월 18일","98.134","97.750","98.270","97.750","14.07K","0.32%"
"2019년 09월 17일","97.819","98.220","98.290","97.735","12.69K","-0.82%"
"2019년 09월 16일","98.627","98.100","98.500","98.055","0.32K","0.38%"
"2019년 09월 13일","98.255","98.420","98.435","98.000","8.35K","-0.05%"
"2019년 09월 12일","98.308","98.620","99.105","98.190","26.09K","-0.32%"
"2019년 09월 11일","98.628","98.305","98.730","98.280","28.56K","0.33%"
"2019년 09월 10일","98.307","98.300","98.440","98.135","14.07K","0.06%"
"2019년 09월 09일","98.248","98.390","98.475","98.105","30.45K","-0.12%"
"2019년 09월 06일","98.362","98.400","98.480","98.140","22.16K","-0.02%"
"2019년 09월 05일","98.382","98.350","98.515","98.035","16.28K","-0.01%"
"2019년 09월 04일","98.393","98.890","98.915","98.340","18.92K","-0.56%"
"2019년 09월 03일","98.949","99.010","99.330","98.865","21.30K","0.09%"
"2019년 09월 02일","98.860","98.795","99.085","98.715","8.33K","0.00%"
"2019년 08월 30일","98.860","98.355","98.970","98.345","19.95K","0.41%"
"2019년 08월 29일","98.455","98.135","98.485","98.100","19.95K","0.34%"
"2019년 08월 28일","98.120","97.940","98.180","97.920","10.40K","0.22%"
"2019년 08월 27일","97.907","97.915","97.960","97.765","9.70K","-0.08%"
"2019년 08월 26일","97.989","97.460","97.995","97.370","18.90K","0.47%"
"2019년 08월 23일","97.530","98.095","98.455","97.455","29.65K","-0.54%"
"2019년 08월 22일","98.064","98.155","98.290","97.965","13.48K","-0.12%"
"2019년 08월 21일","98.179","98.075","98.225","98.000","8.81K","0.12%"
"2019년 08월 20일","98.063","98.240","98.335","97.990","11.52K","-0.16%"
"2019년 08월 19일","98.221","98.060","98.270","98.005","9.29K","0.22%"
"2019년 08월 16일","98.007","98.005","98.205","97.965","10.74K","0.00%"
"2019년 08월 15일","98.005","97.815","98.095","97.680","17.08K","0.18%"
"2019년 08월 14일","97.826","97.610","97.895","97.500","15.21K","0.20%"
"2019년 08월 13일","97.631","97.220","97.690","97.125","27.58K","0.45%"
"2019년 08월 12일","97.198","97.370","97.550","97.130","13.13K","-0.13%"
"2019년 08월 09일","97.322","97.405","97.465","97.175","15.80K","-0.11%"
"2019년 08월 08일","97.434","97.420","97.565","97.215","16.65K","0.09%"
"2019년 08월 07일","97.345","97.370","97.535","97.115","15.77K","-0.07%"
"2019년 08월 06일","97.417","97.080","97.565","96.980","20.26K","0.11%"
