"날짜","종가","오픈","고가","저가","변동 %"
"2020년 09월 03일","1,191.48","1,189.63","1,192.56","1,185.47","0.20%"
"2020년 09월 02일","1,189.13","1,185.58","1,191.71","1,184.18","0.31%"
"2020년 09월 01일","1,185.45","1,188.07","1,188.69","1,181.68","-0.21%"
"2020년 08월 31일","1,187.94","1,180.51","1,188.87","1,178.91","0.63%"
"2020년 08월 28일","1,180.48","1,187.56","1,188.29","1,180.03","-0.59%"
"2020년 08월 27일","1,187.44","1,184.79","1,188.51","1,182.82","0.26%"
"2020년 08월 26일","1,184.39","1,187.48","1,188.94","1,184.16","-0.25%"
"2020년 08월 25일","1,187.35","1,189.04","1,190.22","1,184.70","-0.11%"
"2020년 08월 24일","1,188.66","1,192.12","1,193.03","1,186.47","-0.26%"
"2020년 08월 21일","1,191.72","1,185.36","1,193.51","1,183.10","0.55%"
"2020년 08월 20일","1,185.24","1,182.24","1,190.91","1,181.53","0.30%"
"2020년 08월 19일","1,181.74","1,183.79","1,184.57","1,176.04","-0.08%"
"2020년 08월 18일","1,182.70","1,184.14","1,186.70","1,182.89","-0.04%"
"2020년 08월 17일","1,183.19","1,185.90","1,187.27","1,183.63","-0.32%"
"2020년 08월 14일","1,186.94","1,185.15","1,188.06","1,183.92","0.17%"
"2020년 08월 13일","1,184.92","1,183.74","1,186.32","1,181.24","0.14%"
"2020년 08월 12일","1,183.23","1,186.12","1,187.77","1,182.33","-0.20%"
"2020년 08월 11일","1,185.62","1,186.08","1,187.97","1,181.69","0.00%"
"2020년 08월 10일","1,185.58","1,189.19","1,189.64","1,183.90","-0.30%"
"2020년 08월 07일","1,189.18","1,184.00","1,191.28","1,183.07","0.44%"
"2020년 08월 06일","1,184.00","1,186.24","1,187.47","1,182.51","-0.19%"
"2020년 08월 05일","1,186.24","1,193.32","1,193.81","1,183.31","-0.59%"
"2020년 08월 04일","1,193.32","1,192.70","1,197.12","1,191.18","0.05%"
"2020년 08월 03일","1,192.70","1,194.10","1,196.79","1,191.31","-0.12%"
"2020년 07월 31일","1,194.09","1,189.73","1,196.11","1,186.27","0.37%"
"2020년 07월 30일","1,189.73","1,190.04","1,198.22","1,187.59","-0.03%"
"2020년 07월 29일","1,190.04","1,199.54","1,200.05","1,189.76","-0.79%"
"2020년 07월 28일","1,199.55","1,196.07","1,202.16","1,190.10","0.29%"
"2020년 07월 27일","1,196.07","1,201.49","1,202.32","1,194.12","-0.46%"
"2020년 07월 24일","1,201.59","1,201.95","1,204.59","1,198.71","-0.03%"
"2020년 07월 23일","1,201.95","1,197.38","1,203.85","1,195.58","0.38%"
"2020년 07월 22일","1,197.38","1,194.03","1,199.91","1,192.29","0.28%"
"2020년 07월 21일","1,194.04","1,201.02","1,202.02","1,192.34","-0.58%"
"2020년 07월 20일","1,201.02","1,203.53","1,206.93","1,200.46","-0.24%"
"2020년 07월 17일","1,203.94","1,205.23","1,207.35","1,202.92","-0.11%"
"2020년 07월 16일","1,205.23","1,201.00","1,207.60","1,200.08","0.35%"
"2020년 07월 15일","1,201.00","1,205.01","1,205.49","1,198.81","-0.33%"
"2020년 07월 14일","1,205.01","1,203.87","1,208.74","1,203.07","0.09%"
"2020년 07월 13일","1,203.87","1,200.52","1,204.48","1,198.69","0.27%"
"2020년 07월 10일","1,200.62","1,197.06","1,206.03","1,196.18","0.30%"
"2020년 07월 09일","1,197.08","1,192.68","1,199.13","1,191.04","0.36%"
"2020년 07월 08일","1,192.85","1,196.84","1,199.53","1,192.08","-0.33%"
"2020년 07월 07일","1,196.84","1,192.04","1,197.78","1,189.23","0.40%"
"2020년 07월 06일","1,192.05","1,199.66","1,200.10","1,191.11","-0.62%"
"2020년 07월 03일","1,199.43","1,199.25","1,202.47","1,197.77","0.02%"
"2020년 07월 02일","1,199.25","1,201.67","1,204.15","1,196.68","-0.20%"
"2020년 07월 01일","1,201.67","1,199.44","1,205.05","1,197.92","0.19%"
"2020년 06월 30일","1,199.44","1,199.66","1,204.68","1,195.09","-0.02%"
"2020년 06월 29일","1,199.66","1,203.63","1,205.96","1,197.46","-0.35%"
"2020년 06월 26일","1,203.92","1,202.36","1,204.83","1,197.00","0.13%"
"2020년 06월 25일","1,202.36","1,206.20","1,209.08","1,200.91","-0.32%"
"2020년 06월 24일","1,206.20","1,208.45","1,208.87","1,198.71","-0.19%"
"2020년 06월 23일","1,208.46","1,209.53","1,216.40","1,205.47","-0.09%"
"2020년 06월 22일","1,209.53","1,211.89","1,216.35","1,208.77","-0.20%"
"2020년 06월 19일","1,211.98","1,212.60","1,214.16","1,205.62","-0.05%"
"2020년 06월 18일","1,212.59","1,215.53","1,218.09","1,207.76","-0.24%"
"2020년 06월 17일","1,215.53","1,212.29","1,219.26","1,210.35","0.27%"
"2020년 06월 16일","1,212.29","1,208.65","1,215.22","1,204.09","0.30%"
"2020년 06월 15일","1,208.65","1,203.61","1,217.13","1,203.16","0.41%"
"2020년 06월 12일","1,203.77","1,206.20","1,210.48","1,200.61","-0.20%"
"2020년 06월 11일","1,206.20","1,190.79","1,208.40","1,188.11","1.29%"
"2020년 06월 10일","1,190.79","1,198.52","1,200.79","1,184.24","-0.64%"
"2020년 06월 09일","1,198.52","1,195.90","1,202.93","1,194.99","0.21%"
"2020년 06월 08일","1,195.96","1,201.85","1,205.56","1,194.25","-0.51%"
"2020년 06월 05일","1,202.10","1,216.54","1,218.76","1,200.35","-1.19%"
"2020년 06월 04일","1,216.54","1,215.95","1,220.20","1,212.94","0.05%"
"2020년 06월 03일","1,215.95","1,220.12","1,220.67","1,214.12","-0.34%"
"2020년 06월 02일","1,220.12","1,223.05","1,227.33","1,216.33","-0.24%"
"2020년 06월 01일","1,223.05","1,231.47","1,232.19","1,221.74","-0.69%"
"2020년 05월 29일","1,231.59","1,238.03","1,240.70","1,230.18","-0.52%"
"2020년 05월 28일","1,238.03","1,238.26","1,242.59","1,233.71","-0.02%"
"2020년 05월 27일","1,238.26","1,230.99","1,239.51","1,230.43","0.59%"
"2020년 05월 26일","1,230.99","1,240.95","1,242.70","1,230.11","-0.80%"
"2020년 05월 25일","1,240.95","1,240.56","1,244.89","1,237.61","0.02%"
"2020년 05월 22일","1,240.66","1,233.27","1,244.51","1,232.81","0.60%"
"2020년 05월 21일","1,233.27","1,227.40","1,234.52","1,226.44","0.48%"
"2020년 05월 20일","1,227.40","1,225.18","1,232.70","1,224.17","0.18%"
"2020년 05월 19일","1,225.18","1,225.27","1,227.55","1,221.06","-0.01%"
"2020년 05월 18일","1,225.27","1,233.09","1,235.04","1,224.44","-0.64%"
"2020년 05월 15일","1,233.19","1,227.53","1,235.58","1,226.30","0.46%"
"2020년 05월 14일","1,227.53","1,227.51","1,234.03","1,226.12","0.00%"
"2020년 05월 13일","1,227.51","1,226.84","1,229.40","1,222.17","0.05%"
"2020년 05월 12일","1,226.84","1,223.41","1,228.95","1,220.19","0.28%"
"2020년 05월 11일","1,223.41","1,219.70","1,226.18","1,214.18","0.30%"
"2020년 05월 08일","1,219.80","1,220.11","1,221.82","1,214.51","-0.03%"
"2020년 05월 07일","1,220.11","1,229.60","1,230.06","1,217.08","-0.77%"
"2020년 05월 06일","1,229.55","1,222.57","1,230.03","1,220.57","0.57%"
"2020년 05월 05일","1,222.57","1,224.18","1,224.82","1,218.20","-0.13%"
"2020년 05월 04일","1,224.18","1,224.80","1,230.53","1,223.36","-0.06%"
"2020년 05월 01일","1,224.93","1,213.94","1,225.87","1,213.10","0.91%"
"2020년 04월 30일","1,213.94","1,211.10","1,215.69","1,203.52","0.23%"
"2020년 04월 29일","1,211.10","1,221.81","1,223.45","1,210.42","-0.88%"
"2020년 04월 28일","1,221.81","1,222.64","1,227.95","1,216.86","-0.05%"
"2020년 04월 27일","1,222.45","1,230.50","1,235.10","1,220.81","-0.66%"
"2020년 04월 24일","1,230.62","1,233.54","1,238.24","1,229.93","-0.24%"
"2020년 04월 23일","1,233.54","1,234.05","1,237.23","1,227.72","-0.04%"
"2020년 04월 22일","1,234.05","1,233.53","1,237.91","1,229.92","0.04%"
"2020년 04월 21일","1,233.56","1,220.62","1,241.82","1,220.12","1.06%"
"2020년 04월 20일","1,220.62","1,216.26","1,222.63","1,214.71","0.36%"
"2020년 04월 17일","1,216.24","1,228.98","1,229.45","1,213.95","-1.04%"
"2020년 04월 16일","1,228.98","1,224.72","1,230.53","1,222.94","0.35%"
"2020년 04월 15일","1,224.72","1,212.50","1,225.77","1,209.61","1.01%"
"2020년 04월 14일","1,212.50","1,215.97","1,219.45","1,211.31","-0.28%"
"2020년 04월 13일","1,215.96","1,212.04","1,221.70","1,211.59","0.36%"
"2020년 04월 10일","1,211.55","1,211.11","1,216.10","1,206.64","0.04%"
"2020년 04월 09일","1,211.08","1,216.26","1,222.36","1,208.67","-0.43%"
"2020년 04월 08일","1,216.26","1,215.43","1,223.19","1,214.09","0.07%"
"2020년 04월 07일","1,215.43","1,224.64","1,225.56","1,208.79","-0.75%"
"2020년 04월 06일","1,224.64","1,236.42","1,239.51","1,223.58","-0.97%"
"2020년 04월 03일","1,236.61","1,227.85","1,240.65","1,224.18","0.71%"
"2020년 04월 02일","1,227.85","1,236.70","1,243.29","1,225.56","-0.72%"
"2020년 04월 01일","1,236.70","1,218.80","1,239.27","1,216.80","1.47%"
"2020년 03월 31일","1,218.80","1,224.71","1,225.21","1,214.28","-0.48%"
"2020년 03월 30일","1,224.71","1,212.73","1,227.21","1,212.18","0.99%"
"2020년 03월 27일","1,212.73","1,213.40","1,227.29","1,205.31","-0.06%"
"2020년 03월 26일","1,213.40","1,233.00","1,235.43","1,212.48","-1.59%"
"2020년 03월 25일","1,233.00","1,234.21","1,239.08","1,226.07","-0.10%"
"2020년 03월 24일","1,234.21","1,273.00","1,273.04","1,232.90","-3.05%"
"2020년 03월 23일","1,273.00","1,254.85","1,283.05","1,254.40","1.44%"
"2020년 03월 20일","1,254.95","1,258.36","1,264.60","1,237.22","-0.27%"
"2020년 03월 19일","1,258.36","1,256.50","1,292.93","1,247.45","0.15%"
"2020년 03월 18일","1,256.50","1,239.76","1,269.15","1,231.60","1.35%"
"2020년 03월 17일","1,239.76","1,232.41","1,246.80","1,231.93","0.56%"
"2020년 03월 16일","1,232.87","1,212.10","1,233.58","1,209.23","1.74%"
"2020년 03월 13일","1,211.78","1,211.21","1,226.75","1,205.25","0.05%"
"2020년 03월 12일","1,211.21","1,193.07","1,213.95","1,191.43","1.55%"
"2020년 03월 11일","1,192.71","1,185.74","1,197.73","1,184.07","0.59%"
"2020년 03월 10일","1,185.75","1,201.03","1,201.55","1,184.55","-1.26%"
"2020년 03월 09일","1,200.94","1,188.66","1,206.26","1,188.56","1.02%"
"2020년 03월 06일","1,188.80","1,188.82","1,194.35","1,184.86","-0.00%"
"2020년 03월 05일","1,188.82","1,184.96","1,192.53","1,179.80","0.30%"
"2020년 03월 04일","1,185.23","1,181.00","1,189.11","1,181.00","0.36%"
"2020년 03월 03일","1,181.00","1,190.11","1,196.15","1,178.76","-0.73%"
"2020년 03월 02일","1,189.71","1,200.21","1,207.15","1,188.11","-0.88%"
"2020년 02월 28일","1,200.32","1,212.75","1,218.21","1,198.98","-1.02%"
"2020년 02월 27일","1,212.68","1,212.36","1,218.42","1,206.53","-0.01%"
"2020년 02월 26일","1,212.81","1,216.04","1,220.69","1,211.92","-0.27%"
"2020년 02월 25일","1,216.04","1,219.58","1,220.27","1,209.10","-0.26%"
"2020년 02월 24일","1,219.17","1,206.96","1,222.52","1,206.96","1.00%"
"2020년 02월 21일","1,207.07","1,204.87","1,214.83","1,202.81","0.15%"
"2020년 02월 20일","1,205.21","1,193.00","1,208.91","1,191.68","1.02%"
"2020년 02월 19일","1,193.00","1,191.45","1,193.89","1,187.72","0.16%"
"2020년 02월 18일","1,191.04","1,185.36","1,192.10","1,183.85","0.48%"
"2020년 02월 17일","1,185.36","1,183.14","1,185.36","1,179.20","0.16%"
"2020년 02월 14일","1,183.46","1,184.59","1,186.34","1,180.94","-0.09%"
"2020년 02월 13일","1,184.58","1,179.51","1,185.03","1,178.78","0.43%"
"2020년 02월 12일","1,179.51","1,182.29","1,184.79","1,176.80","-0.23%"
"2020년 02월 11일","1,182.25","1,188.17","1,188.88","1,181.05","-0.50%"
"2020년 02월 10일","1,188.17","1,192.39","1,194.90","1,185.73","-0.35%"
"2020년 02월 07일","1,192.39","1,186.28","1,196.69","1,185.35","0.52%"
"2020년 02월 06일","1,186.28","1,184.40","1,186.88","1,178.32","0.16%"
"2020년 02월 05일","1,184.40","1,183.90","1,193.34","1,180.64","0.04%"
"2020년 02월 04일","1,183.90","1,190.74","1,194.84","1,183.90","-0.58%"
"2020년 02월 03일","1,190.79","1,195.96","1,199.85","1,190.53","-0.43%"
"2020년 01월 31일","1,195.97","1,188.64","1,198.90","1,184.56","0.62%"
"2020년 01월 30일","1,188.64","1,179.68","1,194.03","1,178.74","0.76%"
"2020년 01월 29일","1,179.68","1,177.11","1,180.81","1,174.53","0.30%"
"2020년 01월 28일","1,176.11","1,177.10","1,181.69","1,174.86","-0.14%"
"2020년 01월 27일","1,177.70","1,170.24","1,180.24","1,170.20","0.64%"
"2020년 01월 24일","1,170.20","1,169.41","1,171.10","1,166.55","0.06%"
"2020년 01월 23일","1,169.54","1,165.76","1,171.17","1,164.65","0.32%"
"2020년 01월 22일","1,165.76","1,170.01","1,170.20","1,162.30","-0.36%"
"2020년 01월 21일","1,170.01","1,159.61","1,171.11","1,158.19","0.90%"
"2020년 01월 20일","1,159.61","1,161.46","1,162.70","1,156.56","-0.16%"
"2020년 01월 17일","1,161.44","1,161.03","1,162.29","1,156.82","0.06%"
"2020년 01월 16일","1,160.73","1,158.91","1,162.24","1,157.34","0.16%"
"2020년 01월 15일","1,158.91","1,158.20","1,163.40","1,156.27","0.06%"
"2020년 01월 14일","1,158.20","1,154.95","1,160.14","1,151.11","0.28%"
"2020년 01월 13일","1,154.95","1,158.92","1,160.00","1,153.90","-0.35%"
"2020년 01월 10일","1,158.97","1,159.73","1,164.74","1,158.09","-0.06%"
"2020년 01월 09일","1,159.72","1,163.34","1,164.00","1,158.34","-0.23%"
"2020년 01월 08일","1,162.41","1,167.46","1,179.40","1,160.16","-0.50%"
"2020년 01월 07일","1,168.30","1,167.54","1,169.15","1,163.70","0.06%"
"2020년 01월 06일","1,167.56","1,165.51","1,173.41","1,165.48","0.14%"
"2020년 01월 03일","1,165.95","1,158.85","1,169.24","1,156.27","0.69%"
"2020년 01월 02일","1,157.94","1,154.62","1,160.93","1,153.66","0.25%"
"2020년 01월 01일","1,155.02","1,155.07","1,155.56","1,154.23","-0.00%"
"2019년 12월 31일","1,155.07","1,157.97","1,159.19","1,153.14","-0.25%"
"2019년 12월 30일","1,157.97","1,160.97","1,161.30","1,154.89","-0.15%"
"2019년 12월 27일","1,159.68","1,162.15","1,162.83","1,158.12","-0.23%"
"2019년 12월 26일","1,162.30","1,161.04","1,163.42","1,160.34","0.13%"
"2019년 12월 25일","1,160.76","1,163.52","1,164.09","1,160.68","-0.24%"
"2019년 12월 24일","1,163.52","1,164.04","1,166.61","1,160.71","-0.04%"
"2019년 12월 23일","1,164.04","1,159.39","1,165.20","1,159.38","0.40%"
"2019년 12월 20일","1,159.40","1,163.23","1,166.05","1,157.87","-0.33%"
"2019년 12월 19일","1,163.27","1,167.62","1,168.24","1,163.03","-0.29%"
"2019년 12월 18일","1,166.66","1,163.24","1,168.89","1,161.99","0.22%"
"2019년 12월 17일","1,164.15","1,168.48","1,170.80","1,162.60","-0.37%"
"2019년 12월 16일","1,168.48","1,176.90","1,177.90","1,167.98","-0.66%"
"2019년 12월 13일","1,176.21","1,172.81","1,178.74","1,168.44","0.28%"
"2019년 12월 12일","1,172.89","1,189.61","1,192.70","1,170.73","-1.41%"
"2019년 12월 11일","1,189.61","1,190.49","1,196.14","1,189.61","-0.07%"
"2019년 12월 10일","1,190.49","1,191.43","1,194.86","1,189.60","-0.01%"
"2019년 12월 09일","1,190.55","1,186.31","1,193.21","1,186.01","0.37%"
"2019년 12월 06일","1,186.21","1,188.62","1,192.74","1,185.63","-0.23%"
"2019년 12월 05일","1,188.92","1,192.18","1,193.65","1,187.95","-0.20%"
"2019년 12월 04일","1,191.32","1,188.94","1,195.88","1,187.80","0.11%"
"2019년 12월 03일","1,190.06","1,185.48","1,193.99","1,184.40","0.36%"
"2019년 12월 02일","1,185.78","1,181.96","1,187.61","1,178.35","0.35%"
"2019년 11월 29일","1,181.70","1,179.13","1,183.16","1,177.91","0.24%"
"2019년 11월 28일","1,178.82","1,176.71","1,181.10","1,175.98","0.16%"
"2019년 11월 27일","1,176.97","1,173.42","1,179.19","1,172.63","0.31%"
"2019년 11월 26일","1,173.32","1,173.80","1,179.21","1,170.70","-0.05%"
"2019년 11월 25일","1,173.90","1,180.75","1,180.77","1,173.10","-0.54%"
"2019년 11월 22일","1,180.33","1,177.65","1,181.42","1,175.52","0.29%"
"2019년 11월 21일","1,176.86","1,170.23","1,179.31","1,169.56","0.52%"
"2019년 11월 20일","1,170.82","1,168.35","1,172.71","1,167.73","0.21%"
"2019년 11월 19일","1,168.35","1,167.23","1,171.23","1,165.83","0.10%"
"2019년 11월 18일","1,167.23","1,163.90","1,168.56","1,162.93","0.31%"
"2019년 11월 15일","1,163.65","1,169.08","1,170.31","1,163.41","-0.46%"
"2019년 11월 14일","1,169.08","1,172.39","1,173.17","1,168.62","-0.21%"
"2019년 11월 13일","1,171.51","1,165.95","1,173.91","1,164.71","0.43%"
"2019년 11월 12일","1,166.53","1,165.46","1,167.34","1,160.68","0.09%"
"2019년 11월 11일","1,165.45","1,159.25","1,167.68","1,158.45","0.58%"
"2019년 11월 08일","1,158.76","1,154.47","1,159.37","1,153.74","0.30%"
"2019년 11월 07일","1,155.31","1,161.43","1,163.60","1,153.11","-0.54%"
"2019년 11월 06일","1,161.58","1,156.99","1,162.98","1,155.99","0.41%"
"2019년 11월 05일","1,156.82","1,163.86","1,163.94","1,154.35","-0.53%"
"2019년 11월 04일","1,162.95","1,164.53","1,164.53","1,157.51","-0.16%"
"2019년 11월 01일","1,164.80","1,169.37","1,171.13","1,163.49","-0.46%"
"2019년 10월 31일","1,170.24","1,165.41","1,171.72","1,159.80","0.41%"
"2019년 10월 30일","1,165.41","1,168.39","1,171.00","1,164.91","-0.18%"
"2019년 10월 29일","1,167.55","1,167.78","1,169.74","1,162.47","-0.09%"
"2019년 10월 28일","1,168.61","1,172.10","1,172.20","1,168.01","-0.27%"
"2019년 10월 25일","1,171.82","1,175.28","1,175.96","1,170.91","-0.29%"
"2019년 10월 24일","1,175.21","1,169.77","1,175.21","1,166.99","0.39%"
"2019년 10월 23일","1,170.67","1,173.07","1,177.30","1,170.48","-0.21%"
"2019년 10월 22일","1,173.09","1,173.33","1,175.00","1,169.87","0.05%"
"2019년 10월 21일","1,172.49","1,178.65","1,180.56","1,168.83","-0.54%"
"2019년 10월 18일","1,178.91","1,179.07","1,183.19","1,178.62","-0.01%"
"2019년 10월 17일","1,179.07","1,185.98","1,188.07","1,175.15","-0.63%"
"2019년 10월 16일","1,186.51","1,185.79","1,191.32","1,184.30","0.14%"
